participant_id,agent_type,condition,level,sublevel,sublevel_index,won
10,human,implicit,2,D,10,1
10,human,implicit,2,E,11,0
10,human,implicit,2,F,12,1
10,human,implicit,3,A,13,0
10,human,implicit,3,B,14,1
10,human,implicit,3,C,15,1
10,human,implicit,3,D,16,0
10,human,implicit,3,E,17,0
10,human,implicit,3,F,18,1
13,human,explicit,1,A,1,1
13,human,explicit,1,B,2,1
13,human,explicit,1,C,3,1
13,human,explicit,1,D,4,0
13,human,explicit,1,E,5,1
13,human,explicit,1,F,6,1
13,human,explicit,2,A,7,1
13,human,explicit,2,B,8,1
13,human,explicit,2,C,9,0
13,human,explicit,2,D,10,1
13,human,explicit,2,E,11,0
13,human,explicit,2,F,12,1
13,human,explicit,3,A,13,1
13,human,explicit,3,B,14,1
13,human,explicit,3,C,15,1
13,human,explicit,3,D,16,1
13,human,explicit,3,E,17,1
13,human,explicit,3,F,18,1
claude,LLM,explicit,1,A,1,1
claude,LLM,explicit,1,B,2,1
claude,LLM,explicit,1,C,3,1
claude,LLM,explicit,1,D,4,0
claude,LLM,explicit,1,E,5,0
claude,LLM,explicit,1,F,6,0
claude,LLM,explicit,2,A,7,0
claude,LLM,explicit,2,B,8,1
claude,LLM,explicit,2,C,9,0
claude,LLM,explicit,2,D,10,0
claude,LLM,explicit,2,E,11,0
claude,LLM,explicit,2,F,12,0
claude,LLM,explicit,3,A,13,0
claude,LLM,explicit,3,B,14,0
claude,LLM,explicit,3,C,15,0
claude,LLM,explicit,3,D,16,0
claude,LLM,explicit,3,E,17,0
claude,LLM,explicit,3,F,18,0
deepseek,LLM,explicit,1,A,1,1
deepseek,LLM,explicit,1,B,2,1
deepseek,LLM,explicit,1,C,3,0
deepseek,LLM,explicit,1,D,4,0
deepseek,LLM,explicit,1,E,5,0
deepseek,LLM,explicit,1,F,6,0
deepseek,LLM,explicit,2,A,7,0
deepseek,LLM,explicit,2,B,8,0
deepseek,LLM,explicit,2,C,9,0
deepseek,LLM,explicit,2,D,10,0
deepseek,LLM,explicit,2,E,11,0
deepseek,LLM,explicit,2,F,12,0
deepseek,LLM,explicit,3,A,13,0
deepseek,LLM,explicit,3,B,14,0
deepseek,LLM,explicit,3,C,15,0
deepseek,LLM,explicit,3,D,16,0
deepseek,LLM,explicit,3,E,17,0
deepseek,LLM,explicit,3,F,18,0
gemini,LLM,explicit,1,A,1,1
gemini,LLM,explicit,1,B,2,1
gemini,LLM,explicit,1,C,3,1
gemini,LLM,explicit,1,D,4,1
gemini,LLM,explicit,1,E,5,1
gemini,LLM,explicit,1,F,6,1
gemini,LLM,explicit,2,A,7,0
gemini,LLM,explicit,2,B,8,1
gemini,LLM,explicit,2,C,9,0
gemini,LLM,explicit,2,D,10,0
gemini,LLM,explicit,2,E,11,0
gemini,LLM,explicit,2,F,12,0
gemini,LLM,explicit,3,A,13,0
gemini,LLM,explicit,3,B,14,0
gemini,LLM,explicit,3,C,15,0
gemini,LLM,explicit,3,D,16,0
gemini,LLM,explicit,3,E,17,0
gemini,LLM,explicit,3,F,18,0
gpt,LLM,explicit,1,A,1,1
gpt,LLM,explicit,1,B,2,1
gpt,LLM,explicit,1,C,3,1
gpt,LLM,explicit,1,D,4,0
gpt,LLM,explicit,1,E,5,1
gpt,LLM,explicit,1,F,6,1
gpt,LLM,explicit,2,A,7,0
gpt,LLM,explicit,2,B,8,1
gpt,LLM,explicit,2,C,9,1
gpt,LLM,explicit,2,D,10,1
gpt,LLM,explicit,2,E,11,0
gpt,LLM,explicit,2,F,12,0
gpt,LLM,explicit,3,A,13,0
gpt,LLM,explicit,3,B,14,0
gpt,LLM,explicit,3,C,15,0
gpt,LLM,explicit,3,D,16,0
gpt,LLM,explicit,3,E,17,0
gpt,LLM,explicit,3,F,18,0
claude,LLM,implicit,1,A,1,1
claude,LLM,implicit,1,B,2,1
claude,LLM,implicit,1,C,3,0
claude,LLM,implicit,1,D,4,0
claude,LLM,implicit,1,E,5,0
claude,LLM,implicit,1,F,6,0
claude,LLM,implicit,2,A,7,0
claude,LLM,implicit,2,B,8,0
claude,LLM,implicit,2,C,9,0
claude,LLM,implicit,2,D,10,0
claude,LLM,implicit,2,E,11,0
claude,LLM,implicit,2,F,12,0
claude,LLM,implicit,3,A,13,0
claude,LLM,implicit,3,B,14,0
claude,LLM,implicit,3,C,15,0
claude,LLM,implicit,3,D,16,0
claude,LLM,implicit,3,E,17,0
claude,LLM,implicit,3,F,18,0
deepseek,LLM,implicit,1,A,1,1
deepseek,LLM,implicit,1,B,2,0
deepseek,LLM,implicit,1,C,3,0
deepseek,LLM,implicit,1,D,4,0
deepseek,LLM,implicit,1,E,5,0
deepseek,LLM,implicit,1,F,6,0
deepseek,LLM,implicit,2,A,7,0
deepseek,LLM,implicit,2,B,8,0
deepseek,LLM,implicit,2,C,9,0
deepseek,LLM,implicit,2,D,10,0
deepseek,LLM,implicit,2,E,11,0
deepseek,LLM,implicit,2,F,12,0
deepseek,LLM,implicit,3,A,13,0
deepseek,LLM,implicit,3,B,14,0
deepseek,LLM,implicit,3,C,15,0
deepseek,LLM,implicit,3,D,16,0
deepseek,LLM,implicit,3,E,17,0
deepseek,LLM,implicit,3,F,18,0
gemini,LLM,implicit,1,A,1,1
gemini,LLM,implicit,1,B,2,1
gemini,LLM,implicit,1,C,3,1
gemini,LLM,implicit,1,D,4,0
gemini,LLM,implicit,1,E,5,0
gemini,LLM,implicit,1,F,6,0
gemini,LLM,implicit,2,A,7,0
gemini,LLM,implicit,2,B,8,0
gemini,LLM,implicit,2,C,9,0
gemini,LLM,implicit,2,D,10,0
gemini,LLM,implicit,2,E,11,0
gemini,LLM,implicit,2,F,12,0
gemini,LLM,implicit,3,A,13,0
gemini,LLM,implicit,3,B,14,0
gemini,LLM,implicit,3,C,15,0
gemini,LLM,implicit,3,D,16,0
gemini,LLM,implicit,3,E,17,0
gemini,LLM,implicit,3,F,18,0
gpt,LLM,implicit,1,A,1,1
gpt,LLM,implicit,1,B,2,1
gpt,LLM,implicit,1,C,3,1
gpt,LLM,implicit,1,D,4,0
gpt,LLM,implicit,1,E,5,0
gpt,LLM,implicit,1,F,6,0
gpt,LLM,implicit,2,A,7,0
gpt,LLM,implicit,2,B,8,0
gpt,LLM,implicit,2,C,9,0
gpt,LLM,implicit,2,D,10,0
gpt,LLM,implicit,2,E,11,0
gpt,LLM,implicit,2,F,12,0
gpt,LLM,implicit,3,A,13,0
gpt,LLM,implicit,3,B,14,0
gpt,LLM,implicit,3,C,15,0
gpt,LLM,implicit,3,D,16,0
gpt,LLM,implicit,3,E,17,0
gpt,LLM,implicit,3,F,18,0
